StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_09-09-45.448972579,1526454585.451691940,15831830866,2018-05-16_09-10-15.513343323,1526454615.516092331,0.97,0.91,0.79,36978465744,38130962028422,246512985,125807425,127141066,128600442,94725,8,975413,17540552,1865,0,172193,21557,0,0,7707080,7110860,7024700,2108,158592
2018-05-16_09-10-15.593198577,1526454615.596294538,22256654518,2018-05-16_09-10-45.645642318,1526454645.648289841,0.92,0.90,0.79,37064954070,38214902901664,246809826,125807425,128412233,128600442,94754,8,977315,17549545,1865,0,172341,21557,0,0,7707080,7110676,7024796,2108,158596
2018-05-16_09-10-45.697589267,1526454645.700744744,22396485927,2018-05-16_09-11-15.750065934,1526454675.753124473,0.97,0.91,0.79,37167343896,38299371856652,247110138,125807425,128412233,129849137,94779,8,979227,17558532,1865,0,172444,21558,0,0,7707080,7111056,7024980,2108,158596
2018-05-16_09-11-15.804277472,1526454675.806989826,15088605230,2018-05-16_09-11-45.862749550,1526454705.865451200,0.98,0.92,0.80,37266425802,38356296066146,248560350,125807425,128412233,129849137,94802,8,981271,17567560,1865,0,173371,21558,0,0,7707080,7111340,7025024,2108,158596
2018-05-16_09-11-45.913181750,1526454705.916015099,22325301742,2018-05-16_09-12-15.962855987,1526454735.965739060,0.79,0.88,0.79,37351592208,38440496762170,248858731,127036017,128412233,129849137,94831,8,982971,17576564,1865,0,173486,21559,0,0,7707080,7110656,7024580,2108,158596
2018-05-16_09-12-16.012705163,1526454736.015317409,22446468597,2018-05-16_09-12-46.064470821,1526454766.067275916,0.75,0.86,0.78,37453055574,38525154736046,249158732,127036017,128412233,131043337,94878,8,984750,17585537,1865,0,173671,21559,0,0,7707080,7110364,7024292,2108,158600
2018-05-16_09-12-46.121730543,1526454766.124833233,22320676163,2018-05-16_09-13-16.176863369,1526454796.179641179,0.52,0.80,0.76,37538931420,38609338806514,249455462,127036017,129675988,131043337,94905,8,986422,17594609,1865,0,173872,21559,0,0,7707080,7111344,7024980,2108,158600
2018-05-16_09-13-16.249635025,1526454796.252685863,22145880908,2018-05-16_09-13-46.304155522,1526454826.307487057,0.57,0.78,0.76,37625665806,38692863939820,249752967,128279188,129675995,131043337,94946,8,988251,17603517,1865,0,174093,21560,0,0,7707080,7099680,7013608,2108,158608
2018-05-16_09-13-46.361622535,1526454826.364440765,15129086269,2018-05-16_09-14-16.420216950,1526454856.423088401,0.74,0.80,0.77,37722801552,38749933939688,251206150,128279190,129676000,131043337,94976,8,990251,17612545,1865,0,175056,21560,0,0,7707080,7099568,7013692,2108,158608
2018-05-16_09-14-16.474891959,1526454856.477741412,22275364370,2018-05-16_09-14-46.526349534,1526454886.529127052,0.69,0.79,0.77,37868135838,38833947865460,251506295,128279196,131195357,131043337,95011,8,992329,17621133,1865,0,175315,21561,0,0,7707080,7098100,7011936,2108,158612
2018-05-16_09-14-46.575870539,1526454886.578478959,22390259370,2018-05-16_09-15-16.623735172,1526454916.626629955,0.74,0.79,0.77,38013611484,38918390985130,251806722,128279200,131195373,132571449,95047,8,994316,17629764,1865,0,175551,21563,0,0,7707080,7097824,7011904,2108,158612
2018-05-16_09-15-16.671333216,1526454916.673949651,15887941926,2018-05-16_09-15-46.733228647,1526454946.737812955,0.97,0.84,0.79,38111084250,38978324198586,253220440,128279202,131195381,132571449,95089,8,996284,17638791,1865,0,176533,21563,0,0,7707080,7097852,7011484,2108,158612
2018-05-16_09-15-46.786393921,1526454946.788981254,22357978783,2018-05-16_09-16-16.840033728,1526454976.843928151,0.89,0.84,0.79,38257070256,39062645901266,253518976,129767158,131195393,132571449,95126,8,998293,17647352,1865,0,176783,21563,0,0,7707080,7098384,7011996,2108,158616
2018-05-16_09-16-16.893093841,1526454976.895825229,22179486293,2018-05-16_09-16-46.952468841,1526455006.955256012,0.74,0.81,0.78,38400354042,39146300469202,253816004,129767159,131195402,134031456,95171,8,1000219,17655998,1865,0,177061,21564,0,0,7707080,7110408,7024324,2108,158612
2018-05-16_09-16-47.005439074,1526455007.008513141,22310355962,2018-05-16_09-17-17.056252778,1526455037.059008356,0.77,0.81,0.78,38547274788,39230443432122,254115680,129767159,132728731,134031456,95200,8,1002328,17664622,1865,0,177312,21564,0,0,7707080,7110540,7024396,2108,158612
2018-05-16_09-17-17.105414090,1526455037.107999824,22294248786,2018-05-16_09-17-47.153948411,1526455067.156693515,0.79,0.81,0.78,38659216794,39314527989514,254413603,131276203,132728731,134031456,95230,8,1004230,17673348,1865,0,177583,21564,0,0,7707080,7110636,7024552,2108,158612
2018-05-16_09-17-47.202065236,1526455067.204710164,15859623577,2018-05-16_09-18-17.253716757,1526455097.256592330,0.88,0.83,0.78,38757175980,39374346898428,255858122,131276203,132728731,134031456,95277,8,1006182,17682373,1865,0,178574,21566,0,0,7707080,7111332,7025104,2108,158616
2018-05-16_09-18-17.301866446,1526455097.304749901,22457466425,2018-05-16_09-18-47.362169103,1526455127.366033677,0.92,0.85,0.79,38869379106,39459045855422,256156679,131276203,134288882,134031456,95311,8,1007975,17691191,1865,0,178808,21566,0,0,7707080,7110596,7024712,2108,158616
2018-05-16_09-18-47.413295335,1526455127.415997601,22350346252,2018-05-16_09-19-17.466859419,1526455157.470628056,0.83,0.83,0.79,39015041832,39543342505382,256454294,131276203,134288882,135534672,95341,8,1009953,17699862,1865,0,179073,21567,0,0,7707080,7110888,7024808,2108,158616
2018-05-16_09-19-17.517186901,1526455157.519748379,15913188160,2018-05-16_09-19-47.585352997,1526455187.588301914,0.97,0.86,0.80,39122295738,39603381285364,257823706,131276203,134288882,135534672,95384,8,1011995,17708892,1865,0,179978,21567,0,0,7707080,7110868,7024788,2108,158616
2018-05-16_09-19-47.638688957,1526455187.641516693,22265946170,2018-05-16_09-20-17.691449322,1526455217.694550575,0.88,0.85,0.79,39234696804,39687359469980,258121752,132779888,134288882,135534672,95427,8,1013928,17717561,1865,0,180222,21568,0,0,7707080,7110956,7024880,2108,158624
2018-05-16_09-20-17.743175853,1526455217.746089026,22288094660,2018-05-16_09-20-47.792429835,1526455247.795130190,0.92,0.86,0.80,39347884410,39771421624874,258420218,132779888,134288882,137113521,95473,8,1015900,17726276,1865,0,180494,21568,0,0,7707080,7110020,7024156,2108,158628
2018-05-16_09-20-47.839861165,1526455247.842516162,22354042098,2018-05-16_09-21-17.891366527,1526455277.894099702,0.75,0.83,0.79,39495851076,39855730811454,258719673,132779888,135843838,137113521,95504,8,1017840,17734897,1865,0,180826,21569,0,0,7707080,7110820,7024760,2108,158628
2018-05-16_09-21-17.938067221,1526455277.940789235,22225158907,2018-05-16_09-21-47.988650848,1526455307.991441739,0.73,0.81,0.78,39641251302,39939553973956,259017611,134244796,135843838,137113523,95544,8,1019732,17743466,1865,0,181158,21570,0,0,7707080,7097712,7011580,2108,158636
2018-05-16_09-21-48.036611528,1526455308.039227760,15719835914,2018-05-16_09-22-18.096276707,1526455338.099047294,0.96,0.86,0.80,39742526568,39998854671754,260372095,134244797,135843842,137113525,95561,8,1021202,17752490,1865,0,182664,21570,0,0,7707080,7097672,7011384,2108,158636
2018-05-16_09-22-18.152325384,1526455338.155045104,22140973423,2018-05-16_09-22-48.211991789,1526455368.214870053,0.98,0.87,0.80,39829889514,40082358953664,260667278,134244805,137123737,137113530,95594,8,1022842,17761511,1865,0,182983,21571,0,0,7707080,7097312,7011196,2108,158640
2018-05-16_09-22-48.266237344,1526455368.268842429,22404560776,2018-05-16_09-23-18.318108418,1526455398.321428053,0.92,0.87,0.81,39932130360,40166860728154,260967314,134244812,137123747,138343349,95623,8,1024673,17770438,1865,0,183252,21572,0,0,7707080,7096972,7010904,2108,158644
2018-05-16_09-23-18.367122724,1526455398.370006337,16771932436,2018-05-16_09-23-48.420166728,1526455428.423324697,1.21,0.95,0.83,40025181186,40230123193274,262306308,134244813,137123758,138343349,95649,8,1026678,17779463,1865,0,184211,21572,0,0,7707080,7097688,7011816,2108,158644
2018-05-16_09-23-48.470482937,1526455428.473064290,22194838802,2018-05-16_09-24-18.518005373,1526455458.520658708,1.00,0.92,0.83,40112871012,40313831290452,262604312,135502521,137123765,138343352,95681,8,1028443,17788392,1865,0,184388,21572,0,0,7707080,7097624,7011556,2108,158644
2018-05-16_09-24-18.564821577,1526455458.567514627,22382159123,2018-05-16_09-24-48.615053516,1526455488.617710104,0.80,0.88,0.82,40200103938,40398246703346,262901895,135502521,137123773,139624518,95707,8,1030118,17797442,1865,0,184556,21573,0,0,7707080,7110356,7024480,2108,158636
2018-05-16_09-24-48.663002351,1526455488.665626200,22325542946,2018-05-16_09-25-18.718629632,1526455518.721403583,0.66,0.84,0.81,40303257204,40482446867846,263200460,135502521,138318404,139624518,95742,8,1031921,17806403,1865,0,184757,21575,0,0,7707080,7110524,7024616,2108,158644
2018-05-16_09-25-18.768788645,1526455518.772879845,22553299308,2018-05-16_09-25-48.830357624,1526455548.833527097,0.68,0.83,0.80,40415085750,40567510174590,263500149,136874154,138318404,139624518,95770,8,1033861,17815207,1865,0,184968,21575,0,0,7707080,7110628,7024560,2108,158644
