StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_19-48-27.760223376,1525974507.762764034,36.555540,2018-05-10_19-48-58.011034476,1525974538.013614803,1.00,0.98,0.84,76455124,175195428468,,,,618426,106,14901,33015701,1764,0,64,856,0,0,7707080,7161744,7114060,2108,216484
2018-05-10_19-48-58.053522528,1525974538.056035061,36.558523,2018-05-10_19-49-28.333410339,1525974568.336875443,1.00,0.98,0.85,76456268,175195429740,,,,621448,106,14911,33024794,1764,0,64,857,0,0,7707080,7161272,7114032,2108,216484
2018-05-10_19-49-28.385590440,1525974568.388333404,36.555500,2018-05-10_19-49-58.642443707,1525974598.645000329,1.06,1.00,0.86,76457412,175195431072,,,,624481,106,14935,33033852,1764,0,64,857,0,0,7707080,7161044,7113648,2108,216484
2018-05-10_19-49-58.685638453,1525974598.688198399,36.460475,2018-05-10_19-50-28.936716973,1525974628.939784227,1.04,1.00,0.86,76458556,175195432404,,,,627502,106,14948,33042926,1764,0,64,858,0,0,7707080,7160860,7113324,2108,216492
2018-05-10_19-50-28.980450779,1525974628.983006885,36.562092,2018-05-10_19-50-59.231358218,1525974659.233945762,1.02,1.00,0.87,76459700,175195433736,,,,630523,106,14954,33052011,1764,0,64,859,0,0,7707080,7161488,7113952,2108,216492
2018-05-10_19-50-59.272875526,1525974659.275417903,36.562088,2018-05-10_19-51-29.522237036,1525974689.525075670,1.01,1.00,0.87,76460844,175195435068,,,,633548,106,14965,33061083,1764,0,65,859,0,0,7707080,7148260,7100784,2108,216500
2018-05-10_19-51-29.564282915,1525974689.566948123,36.558812,2018-05-10_19-51-59.831610883,1525974719.835008183,1.01,1.00,0.87,76461988,175195436340,,,,636577,106,14983,33070155,1764,0,65,859,0,0,7707080,7148148,7100768,2108,216504
2018-05-10_19-51-59.879753500,1525974719.882371358,36.562043,2018-05-10_19-52-30.142736597,1525974750.145690897,1.01,1.00,0.88,76463132,175195437672,,,,639596,106,14993,33079243,1764,0,65,860,0,0,7707080,7148008,7100432,2108,216504
2018-05-10_19-52-30.193340187,1525974750.196085125,36.558813,2018-05-10_19-53-00.443512345,1525974780.446051519,1.00,1.00,0.88,76464276,175195439004,,,,642620,106,15006,33088315,1764,0,65,860,0,0,7707080,7147856,7100284,2108,216508
2018-05-10_19-53-00.485239927,1525974780.487874456,36.529286,2018-05-10_19-53-30.734345498,1525974810.737213433,1.00,1.00,0.88,76465420,175195440336,,,,645640,106,15017,33097390,1764,0,65,860,0,0,7707080,7147968,7100592,2108,216508
2018-05-10_19-53-30.776223552,1525974810.778848924,36.558814,2018-05-10_19-54-01.026188748,1525974841.028874093,1.00,1.00,0.89,76466564,175195441668,,,,648660,106,15023,33106474,1764,0,65,860,0,0,7707080,7147984,7100344,2108,216508
2018-05-10_19-54-01.067807427,1525974841.070296161,36.565274,2018-05-10_19-54-31.317415243,1525974871.320374947,1.00,1.00,0.89,76467708,175195443000,,,,651681,106,15028,33115557,1764,0,65,861,0,0,7707080,7161020,7113172,2108,216500
2018-05-10_19-54-31.359868013,1525974871.362397002,36.555520,2018-05-10_19-55-01.611565995,1525974901.614148887,1.00,1.00,0.89,76468852,175195444332,,,,654712,106,15044,33124622,1764,0,65,861,0,0,7707080,7161240,7113864,2108,216504
2018-05-10_19-55-01.652465237,1525974901.654948926,36.552260,2018-05-10_19-55-31.932141419,1525974931.935996592,1.00,1.00,0.89,76469996,175195445604,,,,657732,106,15054,33133716,1764,0,65,863,0,0,7707080,7160828,7113452,2108,216504
2018-05-10_19-55-31.984894566,1525974931.987836840,36.545683,2018-05-10_19-56-02.239646364,1525974962.242158553,1.00,1.00,0.90,76471140,175195446936,,,,660753,106,15061,33142802,1764,0,65,863,0,0,7707080,7160880,7113504,2108,216504
2018-05-10_19-56-02.282264090,1525974962.284799710,36.568653,2018-05-10_19-56-32.530103498,1525974992.532673507,1.00,1.00,0.90,76472284,175195448268,,,,663776,106,15067,33151885,1764,0,65,863,0,0,7707080,7161264,7113888,2108,216504
2018-05-10_19-56-32.571868138,1525974992.574370769,36.457198,2018-05-10_19-57-02.821150801,1525975022.823781927,1.00,1.00,0.90,76473428,175195449600,,,,666791,106,15072,33160969,1764,0,65,863,0,0,7707080,7160852,7113280,2108,216504
2018-05-10_19-57-02.863428291,1525975022.865939719,36.562097,2018-05-10_19-57-33.112264631,1525975053.114913044,1.00,1.00,0.91,76474572,175195450932,,,,669813,106,15078,33170053,1764,0,65,863,0,0,7707080,7161160,7113512,2108,216504
2018-05-10_19-57-33.153993602,1525975053.156507569,36.558821,2018-05-10_19-58-03.402829853,1525975083.405476955,1.00,1.00,0.91,76475716,175195452264,,,,672834,106,15083,33179139,1764,0,65,863,0,0,7707080,7161220,7113996,2108,216504
2018-05-10_19-58-03.449439339,1525975083.452060091,36.555545,2018-05-10_19-58-33.715833224,1525975113.719124787,1.00,1.00,0.91,76476860,175195453536,,,,675856,106,15090,33188229,1764,0,65,863,0,0,7707080,7161020,7113844,2108,216504
2018-05-10_19-58-33.765284164,1525975113.768098251,36.542367,2018-05-10_19-59-04.034251402,1525975144.037096303,1.00,1.00,0.91,76478004,175195454868,,,,678877,106,15098,33197319,1764,0,66,863,0,0,7707080,7161272,7113896,2108,216504
