StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_19-34-55.328853023,1526924095.331081747,7314064397,2018-05-21_19-35-25.377765672,1526924125.380523934,0.26,0.36,0.39,6651971640,5648794902904,0,12471191,1696,2918,6,165788,2147584,2251,0,5469,76,0,0,6540533,7707080,7318524,7229776,2108,146672
2018-05-21_19-35-25.420768713,1526924125.423141074,7257627085,2018-05-21_19-35-55.464931197,1526924155.467173532,0.33,0.37,0.40,6702612606,5676038257888,0,12527469,1704,2928,6,166591,2158471,2251,0,5490,77,0,0,6574776,7707080,7318516,7229496,2108,146672
2018-05-21_19-35-55.504411259,1526924155.506604853,7486476985,2018-05-21_19-36-25.549686315,1526924185.552046000,0.34,0.37,0.40,6751174932,5704140877512,0,12589787,1712,2940,6,167213,2169557,2251,0,5506,77,0,0,6609928,7707080,7319284,7230340,2108,146672
2018-05-21_19-36-25.590343719,1526924185.592682123,7200878347,2018-05-21_19-36-55.636060827,1526924215.638354356,0.21,0.33,0.39,6799604538,5731170629870,0,12642506,1718,2949,6,167978,2180471,2251,0,5525,77,0,0,6643890,7707080,7319160,7230216,2108,146672
2018-05-21_19-36-55.675526523,1526924215.677774767,6955796828,2018-05-21_19-37-25.718908113,1526924245.721176200,0.33,0.35,0.39,6845791524,5757283424036,0,12698019,1726,2962,6,168758,2191437,2251,0,5542,77,0,0,6678281,7707080,7317948,7228752,2108,146676
2018-05-21_19-37-25.758071056,1526924245.760266325,7238324131,2018-05-21_19-37-55.803973028,1526924275.806433194,0.26,0.33,0.38,6893662230,5784455876392,0,12761895,1734,2971,6,169545,2202385,2251,0,5558,77,0,0,6712921,7707080,7317848,7229104,2108,146676
2018-05-21_19-37-55.847094920,1526924275.849550213,7026533053,2018-05-21_19-38-25.893201095,1526924305.895614304,0.30,0.33,0.38,6942392196,5810833829294,0,12819559,1742,2981,6,170365,2213302,2251,0,5580,77,0,0,6746654,7707080,7318152,7228924,2108,146676
2018-05-21_19-38-25.933067538,1526924305.935283447,7156495228,2018-05-21_19-38-55.979373035,1526924335.981742156,0.42,0.35,0.39,6991956942,5837697608046,0,12873513,1749,2990,6,171173,2224174,2251,0,5602,77,0,0,6780455,7707080,7317996,7229204,2108,146676
2018-05-21_19-38-56.020487091,1526924336.022768156,6931405414,2018-05-21_19-39-26.066649820,1526924366.069060944,0.39,0.35,0.39,7039925808,5863716961656,0,12927746,1757,2999,6,171947,2235103,2251,0,5619,77,0,0,6813945,7707080,7317784,7229040,2108,146676
2018-05-21_19-39-26.108019907,1526924366.110484506,7245876222,2018-05-21_19-39-56.152056223,1526924396.154312119,0.31,0.33,0.38,7091205594,5890914304760,0,12980792,1764,3008,6,172683,2246038,2251,0,5639,78,0,0,6848409,7707080,7317832,7228892,2108,146676
2018-05-21_19-39-56.191458586,1526924396.193632339,7057706004,2018-05-21_19-40-26.237956484,1526924426.240418841,0.24,0.32,0.37,7138202520,5917408114650,0,13039034,1771,3018,6,173455,2256970,2251,0,5660,78,0,0,6882796,7707080,7317860,7229116,2108,146680
2018-05-21_19-40-26.280458306,1526924426.282873627,7215382259,2018-05-21_19-40-56.327219614,1526924456.329595549,0.28,0.32,0.37,7186342086,5944493616248,0,13094455,1778,3028,6,174253,2267865,2251,0,5678,78,0,0,6917073,7707080,7318008,7229068,2108,146680
2018-05-21_19-40-56.368197356,1526924456.370500148,7131325705,2018-05-21_19-41-26.413302537,1526924486.415819456,0.48,0.37,0.39,7233854172,5971262918356,0,13151291,1786,3038,6,175018,2278812,2251,0,5693,78,0,0,6951547,7707080,7318344,7229132,2108,146680
2018-05-21_19-41-26.455955956,1526924486.458296324,7114593959,2018-05-21_19-41-56.502433696,1526924516.504816728,0.29,0.33,0.38,7280919138,5997972478974,0,13210857,1794,3052,6,175843,2289727,2251,0,5714,78,0,0,6986123,7707080,7314556,7225480,2108,146680
2018-05-21_19-41-56.544090462,1526924516.546349629,7223904550,2018-05-21_19-42-26.591516455,1526924546.594007733,0.25,0.32,0.37,7332203724,6025092566614,0,13273439,1802,3060,6,176588,2300700,2251,0,5735,79,0,0,7020265,7707080,7317904,7228936,2108,146680
2018-05-21_19-42-26.634640590,1526924546.637121834,7244099729,2018-05-21_19-42-56.680073434,1526924576.682300987,0.29,0.32,0.37,7371480150,6052284252074,0,13328101,1809,3069,6,177287,2311716,2251,0,5749,79,0,0,7054824,7707080,7318308,7229380,2108,146680
2018-05-21_19-42-56.719372543,1526924576.721569287,7032661439,2018-05-21_19-43-26.762834602,1526924606.765065958,0.33,0.32,0.37,7413754296,6078685863194,0,13383845,1817,3077,6,178076,2322691,2251,0,5764,79,0,0,7088534,7707080,7318300,7229248,2108,146680
2018-05-21_19-43-26.802328952,1526924606.804512448,7245863076,2018-05-21_19-43-56.847538742,1526924636.849914468,0.35,0.32,0.37,7464531702,6105884683754,0,13438407,1824,3087,6,178851,2333601,2251,0,5781,79,0,0,7122704,7707080,7318104,7229576,2108,146680
2018-05-21_19-43-56.889928536,1526924636.892336830,7274912673,2018-05-21_19-44-26.937637388,1526924666.940272619,0.26,0.31,0.36,7513026288,6133190746840,0,13492332,1831,3096,6,179411,2344711,2251,0,5793,79,0,0,7158908,7707080,7318032,7229104,2108,146680
2018-05-21_19-44-26.980682856,1526924666.983152111,7132134928,2018-05-21_19-44-57.029077389,1526924697.031360527,0.53,0.37,0.38,7560561714,6159966677348,0,13550591,1839,3106,6,180229,2355590,2251,0,5819,79,0,0,7192468,7707080,7317976,7228980,2108,146680
2018-05-21_19-44-57.071727672,1526924697.074520065,7445059019,2018-05-21_19-45-27.119897123,1526924727.122464281,0.37,0.35,0.37,7608720000,6187915671676,0,13614440,1847,3116,6,180873,2366644,2251,0,5840,79,0,0,7227629,7707080,7317964,7229084,2108,146680
2018-05-21_19-45-27.163658503,1526924727.166150820,6920752977,2018-05-21_19-45-57.209962250,1526924757.212270194,0.42,0.37,0.38,7654771386,6213897971738,0,13669756,1854,3126,6,181506,2377771,2251,0,5859,80,0,0,7262113,7707080,7317980,7229052,2108,146680
2018-05-21_19-45-57.249462975,1526924757.251637710,7167507365,2018-05-21_19-46-27.294157689,1526924787.296511830,0.33,0.35,0.37,7704599532,6240803504322,0,13728192,1862,3141,6,182300,2388662,2251,0,5885,80,0,0,7296790,7707080,7316768,7228044,2108,146684
2018-05-21_19-46-27.335222974,1526924787.337524949,7055207419,2018-05-21_19-46-57.381500419,1526924817.383963296,0.27,0.33,0.37,7753472598,6267289639134,0,13786859,1870,3152,6,183147,2399530,2251,0,5906,80,0,0,7329646,7707080,7317500,7228580,2108,146688
2018-05-21_19-46-57.423357233,1526924817.425656305,7125219745,2018-05-21_19-47-27.467943202,1526924847.470418939,0.35,0.35,0.37,7800906624,6294037628582,0,13846430,1878,3161,6,183989,2410408,2251,0,5927,81,0,0,7362455,7707080,7318168,7229248,2108,146688
2018-05-21_19-47-27.510641021,1526924847.513106552,6987895658,2018-05-21_19-47-57.556919131,1526924877.559437528,0.40,0.36,0.38,7847321490,6320271972540,0,13902072,1885,3169,6,184829,2421305,2251,0,5944,81,0,0,7395417,7707080,7318084,7229164,2108,146688
2018-05-21_19-47-57.599931334,1526924877.602364448,7200657826,2018-05-21_19-48-27.646199678,1526924907.648888070,0.31,0.34,0.37,7897845336,6347303394906,0,13961926,1894,3179,6,185630,2432214,2251,0,5965,81,0,0,7429408,7707080,7318240,7229520,2108,146692
2018-05-21_19-48-27.688570645,1526924907.690962576,7206802667,2018-05-21_19-48-57.733145808,1526924937.735544034,0.19,0.31,0.36,7948217022,6374358730264,0,14022297,1902,3190,6,186505,2443054,2251,0,5984,81,0,0,7462998,7707080,7318040,7228852,2108,146692
2018-05-21_19-48-57.774326719,1526924937.776609213,7521623356,2018-05-21_19-49-27.819089004,1526924967.821625789,0.24,0.31,0.36,7986031668,6402592294530,0,14078741,1909,3199,6,187150,2454138,2251,0,5998,81,0,0,7498642,7707080,7317776,7229056,2108,146692
2018-05-21_19-49-27.862203296,1526924967.864636291,6983050278,2018-05-21_19-49-57.907467132,1526924997.909796252,0.21,0.30,0.35,8034653094,6428805804704,0,14131983,1917,3208,6,187956,2465034,2251,0,6017,81,0,0,7532247,7707080,7317800,7228884,2108,146692
2018-05-21_19-49-57.948376865,1526924997.950721522,7216141757,2018-05-21_19-50-27.993555616,1526925027.996023144,0.19,0.28,0.34,8082676260,6455895777670,0,14192210,1925,3220,6,188773,2475947,2251,0,6035,81,0,0,7566424,7707080,7317524,7229000,2108,146696
2018-05-21_19-50-28.034832082,1526925028.037139343,6816416274,2018-05-21_19-50-58.082225726,1526925058.084757906,0.17,0.27,0.34,8128422126,6481480761962,0,14240163,1931,3233,6,189485,2486928,2251,0,6053,82,0,0,7599789,7707080,7316668,7227520,2108,146696
2018-05-21_19-50-58.125252938,1526925058.127692637,6199550319,2018-05-21_19-51-28.171676806,1526925088.174089151,0.11,0.25,0.33,8169705852,6504754110976,0,14292717,1938,3240,6,190193,2497990,2251,0,6070,82,0,0,7631107,7707080,7317360,7228844,2108,146696
2018-05-21_19-51-28.212334211,1526925088.214568013,6241501756,2018-05-21_19-51-58.255797868,1526925118.258033510,0.18,0.25,0.32,8211526578,6528183731906,0,14344215,1945,3248,6,190897,2509033,2251,0,6085,82,0,0,7662425,7707080,7317768,7229008,2108,146696
