StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_21-15-44.300615468,1526930144.302632963,2018-05-21_21-15-44.306999642,1526930144.308916716,1.47,1.38,1.28,17228998010,11091354382400,56229555,41944044,40065919,41075039,37275017,53550429,43307121,40169911,443388,7,867003,70910976,6921,0,261706,0,434586,0,66130993,32804244,28825820,29308496,2116,806348
2018-05-21_21-16-14.359840311,1526930174.361899241,2018-05-21_21-16-14.366416685,1526930174.368426968,1.28,1.34,1.27,17266549120,11110491015440,56253054,42056831,40094626,41075040,37278352,53550429,43307121,40748405,444210,7,869597,70930926,6923,0,262176,0,435405,0,66250006,32804244,28825396,29307760,2116,806348
2018-05-21_21-16-44.419194713,1526930204.421436441,2018-05-21_21-16-44.426032498,1526930204.428249837,1.30,1.34,1.27,17302971782,11129170105246,56253054,42165273,40094627,41075040,37278352,54144756,43307121,40748405,444964,7,872172,70950974,6924,0,262673,0,436155,0,66372785,32804244,28823732,29306144,2116,806348
2018-05-21_21-17-14.480176772,1526930234.482336495,2018-05-21_21-17-14.486973113,1526930234.488944387,1.25,1.32,1.27,17339127884,11148113679518,56253054,42165370,40094890,41634120,37283398,54144833,43423855,40778544,445701,7,874786,70971062,6924,0,263129,0,436889,0,66493792,32804244,28823100,29306036,2116,806348
2018-05-21_21-17-44.541034815,1526930264.543125396,2018-05-21_21-17-44.547625888,1526930264.549671270,1.21,1.31,1.26,17375862738,11166998335000,56253055,42732145,40094890,41634670,37283398,54291010,43423855,40778658,446415,7,877404,70991160,6924,0,263649,0,437598,0,66621371,32804244,28823984,29306348,2116,806348
2018-05-21_21-18-14.604248923,1526930294.606296333,2018-05-21_21-18-14.611085238,1526930294.613067745,1.13,1.28,1.26,17413059032,11186102284870,56330436,42762455,40672698,41634670,37295652,54352176,43423855,40778658,447223,7,880014,71011149,6925,0,264086,0,438402,0,66741237,32804244,28825720,29308052,2116,806348
2018-05-21_21-18-44.667225024,1526930324.669318440,2018-05-21_21-18-44.673880880,1526930324.676026135,1.14,1.27,1.25,17449413854,11204677156022,56849105,42762455,40674077,41634671,37298836,54395554,43423855,40778658,448008,7,882574,71031236,6928,0,264598,0,439180,0,66863810,32804244,28824848,29307268,2116,806348
2018-05-21_21-19-14.728884746,1526930354.731013736,2018-05-21_21-19-14.735431220,1526930354.737361595,1.10,1.24,1.24,17486556260,11223722913386,56850771,42885515,40674077,42212026,37305332,54448974,43423861,40778658,448825,7,885180,71051218,6932,0,265071,0,439993,0,66983424,32804244,28824480,29306884,2116,806348
2018-05-21_21-19-44.788192292,1526930384.790980128,2018-05-21_21-19-44.795536168,1526930384.797550940,1.06,1.22,1.23,17523123114,11242347374164,56850771,43462023,40674077,42214257,37305332,54542941,43423861,40778658,449627,7,887747,71071250,6932,0,265583,0,440791,0,67100304,32804244,28826124,29309016,2116,806348
2018-05-21_21-20-14.850623144,1526930414.852720233,2018-05-21_21-20-14.857187357,1526930414.859162942,0.97,1.18,1.22,17554246128,11261377413414,56901079,43505402,41161431,42214324,37311795,54571391,43423864,40778658,450441,7,890333,71091280,6933,0,266076,0,441599,0,67219054,32804244,28823548,29305900,2116,806356
2018-05-21_21-20-44.914830477,1526930444.916894150,2018-05-21_21-20-44.921233169,1526930444.923151178,0.97,1.16,1.22,17590914422,11280355463626,57477310,43506294,41163754,42232208,37317951,54625049,43423864,40834521,451195,7,892922,71111352,6933,0,266590,0,442346,0,67337309,32804244,28811540,29293928,2116,806368
2018-05-21_21-21-14.976218953,1526930474.978324033,2018-05-21_21-21-14.982770193,1526930474.984692579,1.09,1.18,1.22,17627500284,11299297470384,57481046,43506294,41164573,42807628,37317956,54658818,43423864,40925691,451961,7,895507,71131401,6937,0,267079,0,443105,0,67457273,32804244,28812212,29293972,2116,806372
2018-05-21_21-21-45.036760298,1526930505.038818424,2018-05-21_21-21-45.043404903,1526930505.045398410,1.07,1.16,1.21,17658332738,11318368018934,57481046,43980691,41220045,42811531,37317956,54660005,43423864,41030799,452729,7,898113,71151462,6940,0,267553,0,443868,0,67579570,32804244,28810520,29292980,2116,806372
2018-05-21_21-22-15.098629299,1526930535.100716053,2018-05-21_21-22-15.105268590,1526930535.107394824,1.31,1.21,1.23,17694406152,11336962700854,57512824,43994865,41803509,42811531,37322067,54660005,43452331,41047292,453521,7,900681,71171517,6944,0,268067,0,444653,0,67699028,32804244,28809404,29292108,2116,806376
2018-05-21_21-22-45.159734088,1526930565.161749779,2018-05-21_21-22-45.166293296,1526930565.168364331,1.19,1.19,1.22,17729671822,11355296956564,58101954,43994865,41808316,42811531,37326024,54660005,43469797,41047292,454309,7,903201,71191623,6947,0,268591,0,445436,0,67813365,32804244,28823136,29305744,2116,806376
2018-05-21_21-23-15.221780862,1526930595.223865723,2018-05-21_21-23-15.228449104,1526930595.230493467,1.25,1.20,1.23,17766993300,11374324161986,58181815,43994865,41816243,43389210,37328974,54660005,43553634,41047292,455091,7,905810,71211634,6951,0,269064,0,446210,0,67932590,32804244,28811460,29293552,2116,806376
2018-05-21_21-23-45.282977464,1526930625.285053276,2018-05-21_21-23-45.289550004,1526930625.291534098,1.63,1.30,1.26,17804551834,11393445702026,58202742,44573207,41831600,43394899,37339143,54790288,43555346,41047292,455795,7,908447,71231733,6953,0,269568,0,446910,0,68054909,32804244,28821804,29304472,2116,806372
2018-05-21_21-24-15.345076692,1526930655.347118930,2018-05-21_21-24-15.351577739,1526930655.353535960,1.25,1.24,1.24,17840962400,11412659480776,58220236,44579538,42393281,43492306,37349713,54824531,43556726,41047292,456589,7,911039,71251763,6955,0,270039,0,447699,0,68173576,32804244,28822968,29305376,2116,806372
2018-05-21_21-24-45.407391299,1526930685.409549090,2018-05-21_21-24-45.414237333,1526930685.416169050,1.15,1.21,1.23,17877247846,11431703118674,58777376,44579538,42399763,43492396,37349713,54984269,43558726,41047292,457322,7,913650,71271832,6955,0,270547,0,448428,0,68293798,32804244,28824112,29306816,2116,806372
2018-05-21_21-25-15.469195650,1526930715.471317893,2018-05-21_21-25-15.475722691,1526930715.477642121,0.95,1.16,1.21,17913503660,11450362462572,58784258,44597612,42399763,44072246,37349713,55001063,43616476,41047292,458111,7,916226,71291887,6957,0,271031,0,449211,0,68413354,32804244,28824216,29306920,2116,806372
2018-05-21_21-25-45.530113226,1526930745.532181088,2018-05-21_21-25-45.536710208,1526930745.538837852,0.97,1.15,1.21,17949787762,11469018998574,58784258,45164490,42399763,44079801,37353247,55089416,43618745,41047292,458839,7,918801,71312009,6958,0,271501,0,449934,0,68537706,32804244,28824552,29306980,2116,806372
2018-05-21_21-26-15.589747396,1526930775.591846816,2018-05-21_21-26-15.596250562,1526930775.598351099,1.07,1.15,1.20,17985992056,11488084844922,58819514,45206343,42957312,44079801,37353247,55091814,43618745,41141171,459645,7,921401,71332023,6959,0,271976,0,450736,0,68657517,32804244,28824812,29307484,2116,806372
2018-05-21_21-26-45.652412028,1526930805.654469359,2018-05-21_21-26-45.658889321,1526930805.660862205,0.99,1.12,1.19,18021730046,11507044980426,59362122,45252402,42965869,44098457,37353247,55158237,43635530,41143772,460453,7,924002,71352032,6963,0,272476,0,451538,0,68778413,32804244,28823556,29306240,2116,806376
2018-05-21_21-27-15.713786659,1526930835.715854008,2018-05-21_21-27-15.720279519,1526930835.722354197,1.07,1.13,1.19,18056711172,11525519440550,59371026,45252402,42965869,44657481,37353247,55158237,43635530,41150213,461266,7,926516,71372119,6967,0,273000,0,452346,0,68897522,32804244,28822748,29305164,2116,806380
2018-05-21_21-27-45.774953475,1526930865.777042294,2018-05-21_21-27-45.781478061,1526930865.783438179,1.06,1.12,1.19,18088106378,11544371351944,59477230,45781056,42965869,44666803,37357307,55158237,43635530,41152943,461966,7,929074,71392248,6969,0,273499,0,453041,0,69017880,32804244,28823768,29306448,2116,806380
2018-05-21_21-28-15.834879429,1526930895.836986713,2018-05-21_21-28-15.841511566,1526930895.843467914,1.15,1.14,1.19,18125188432,11563481198066,59623169,45789329,43536181,44666803,37371070,55168100,43635530,41152943,462795,7,931670,71412232,6970,0,273979,0,453865,0,69134943,32804244,28823504,29306476,2116,806380
2018-05-21_21-28-45.896126400,1526930925.898160295,2018-05-21_21-28-45.902690964,1526930925.904774326,1.20,1.15,1.20,18162015574,11582308774208,60192991,45789329,43546884,44666803,37381751,55227576,43635530,41197245,463591,7,934257,71432247,6972,0,274486,0,454655,0,69250813,32804244,28811416,29293500,2116,806388
2018-05-21_21-29-15.958541964,1526930955.960609957,2018-05-21_21-29-15.965114024,1526930955.967081615,1.13,1.14,1.19,18198562076,11601229554186,60204033,45898290,43546910,45230130,37384664,55274826,43635530,41197245,464421,7,936859,71452237,6974,0,274953,0,455481,0,69366201,32804244,28812080,29295056,2116,806388
2018-05-21_21-29-46.020696459,1526930986.022812281,2018-05-21_21-29-46.027458688,1526930986.029638160,1.19,1.16,1.20,18235775074,11620270469764,60293280,46466293,43546910,45241476,37385541,55278303,43705527,41197245,465215,7,939466,71472241,6975,0,275482,0,456267,0,69486042,32804244,28810352,29293328,2116,806392
2018-05-21_21-30-16.085227310,1526931016.087317348,2018-05-21_21-30-16.091900876,1526931016.093943002,1.26,1.17,1.20,18267047912,11639499365818,60442363,46478132,44021117,45243526,37387194,55278303,43709060,41228830,465955,7,942057,71492311,6976,0,276007,0,457000,0,69606431,32804244,28809056,29292060,2116,806400
2018-05-21_21-30-46.146264237,1526931046.148330443,2018-05-21_21-30-46.153005266,1526931046.154924965,1.17,1.16,1.20,18302618478,11658154009986,60995416,46481438,44031428,45253533,37400263,55337436,43711481,41228830,466763,7,944634,71512348,6980,0,276500,0,457804,0,69723760,32804244,28809100,29291772,2116,806404
2018-05-21_21-31-16.208280429,1526931076.210378539,2018-05-21_21-31-16.214876881,1526931076.216822860,1.30,1.19,1.21,18338777780,11677162602082,61035014,46482651,44075992,45792787,37408775,55373790,43751919,41228830,467574,7,947243,71532332,6984,0,276988,0,458608,0,69842388,32804244,28811088,29293496,2116,806404
2018-05-21_21-31-46.269152824,1526931106.271249664,2018-05-21_21-31-46.275818354,1526931106.277884209,1.15,1.16,1.19,18375174266,11696390815966,61035014,47027176,44157592,45805452,37416340,55446342,43751919,41228830,468389,7,949844,71552321,6990,0,277458,0,459417,0,69966848,32804244,28822936,29305344,2116,806404
2018-05-21_21-32-16.332876315,1526931136.334993013,2018-05-21_21-32-16.339509101,1526931136.341508623,1.11,1.14,1.19,18411728000,11715247205034,61052747,47040409,44721492,45817249,37426323,55532941,43751919,41234556,469232,7,952443,71572305,6993,0,277933,0,460255,0,70083514,32804244,28824588,29307020,2116,806404
2018-05-21_21-32-46.394674338,1526931166.396756807,2018-05-21_21-32-46.401234750,1526931166.403189859,1.01,1.12,1.18,18448275718,11734101283622,61622677,47040409,44735244,45870837,37436437,55541946,43795050,41234556,470074,7,955014,71592286,6999,0,278438,0,461092,0,70201824,32804244,28823676,29306688,2116,806404
2018-05-21_21-33-16.455624241,1526931196.457680020,2018-05-21_21-33-16.462097311,1526931196.464095124,1.03,1.11,1.17,18485443596,11753089028098,61636689,47069774,44802141,45870837,37436437,55579059,43799216,41797088,470907,7,957582,71612259,7002,0,278923,0,461920,0,70321840,32804244,28822436,29305840,2116,806404
