StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_14-26-55.996473153,1526214415.998312390,36.656831,2018-05-13_14-27-26.237264933,1526214446.239152924,0.95,0.97,0.73,,,,,,112705,0,2285,1192920,2359,0,4,0,0,0,32804244,31860140,31732632,2116,136740
2018-05-13_14-27-26.269118003,1526214446.270972892,36.656833,2018-05-13_14-27-56.509701767,1526214476.511566624,0.91,0.96,0.73,,,,,,115731,0,2290,1214105,2359,0,4,0,0,0,32804244,31873552,31744884,2116,136732
2018-05-13_14-27-56.541505296,1526214476.543391965,36.656837,2018-05-13_14-28-26.781762250,1526214506.783619476,0.95,0.96,0.74,,,,,,118755,0,2293,1235293,2359,0,4,0,0,0,32804244,31873468,31745672,2116,136732
2018-05-13_14-28-26.813452640,1526214506.815322998,36.656838,2018-05-13_14-28-57.053644556,1526214537.055506407,0.97,0.97,0.75,,,,,,121779,0,2298,1256479,2359,0,4,0,0,0,32804244,31872952,31745176,2116,136736
2018-05-13_14-28-57.085437132,1526214537.087268851,36.656838,2018-05-13_14-29-27.325469768,1526214567.327330032,0.98,0.97,0.76,,,,,,124802,0,2302,1277666,2359,0,4,0,0,0,32804244,31872780,31744568,2116,136736
2018-05-13_14-29-27.357281512,1526214567.359125808,36.656837,2018-05-13_14-29-57.598020961,1526214597.599879978,0.99,0.97,0.77,,,,,,127826,0,2307,1298853,2359,0,4,0,0,0,32804244,31872824,31745344,2116,136736
2018-05-13_14-29-57.629786220,1526214597.631621339,36.656837,2018-05-13_14-30-27.870311581,1526214627.872210255,0.99,0.97,0.77,,,,,,130849,0,2313,1320038,2359,0,4,0,0,0,32804244,31872620,31745096,2116,136748
2018-05-13_14-30-27.902098953,1526214627.903957453,36.656835,2018-05-13_14-30-58.142574702,1526214658.144427465,1.00,0.98,0.78,,,,,,133872,0,2318,1341224,2359,0,4,0,0,0,32804244,31872504,31744676,2116,136748
2018-05-13_14-30-58.174307973,1526214658.176155007,36.656837,2018-05-13_14-31-28.414607686,1526214688.416472205,1.00,0.98,0.79,,,,,,136896,0,2321,1362411,2359,0,4,0,0,0,32804244,31871428,31743956,2116,136748
2018-05-13_14-31-28.446328851,1526214688.448177121,36.656835,2018-05-13_14-31-58.686747871,1526214718.688597396,1.00,0.98,0.79,,,,,,139919,0,2327,1383597,2359,0,4,0,0,0,32804244,31871656,31743628,2116,136748
2018-05-13_14-31-58.718523193,1526214718.720367528,36.656837,2018-05-13_14-32-28.958900753,1526214748.960752000,1.00,0.99,0.80,,,,,,142943,0,2331,1404785,2359,0,4,0,0,0,32804244,31871860,31743572,2116,136748
2018-05-13_14-32-28.990615478,1526214748.992454640,36.656829,2018-05-13_14-32-59.231005470,1526214779.232869359,1.00,0.99,0.80,,,,,,145968,0,2338,1425967,2359,0,4,0,0,0,32804244,31860820,31732792,2116,136756
2018-05-13_14-32-59.262918603,1526214779.264766183,36.656830,2018-05-13_14-33-29.503239587,1526214809.505122668,0.92,0.97,0.80,,,,,,148992,0,2341,1447154,2359,0,4,0,0,0,32804244,31860352,31733128,2116,136760
2018-05-13_14-33-29.534942198,1526214809.536783884,36.656834,2018-05-13_14-33-59.775682035,1526214839.777556052,0.95,0.97,0.81,,,,,,152017,0,2349,1468336,2359,0,5,0,0,0,32804244,31860884,31732504,2116,136760
