StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,bbuser,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_16-46-36.767071624,1526222796.768928164,38.295884,2018-05-13_16-47-07.007357373,1526222827.009222116,0.96,0.95,0.93,171968,199412,1218,400,376,355,0,0,0,0,428202,0,3567,4146692,2417,0,8,0,0,0,32804244,31820712,31702452,2116,156712
2018-05-13_16-47-07.053690701,1526222827.055533620,38.295885,2018-05-13_16-47-37.293931873,1526222857.295804804,0.98,0.95,0.93,173160,200796,1226,400,376,355,0,0,0,0,431226,0,3573,4167888,2417,0,8,0,0,0,32804244,31820852,31702560,2116,156712
2018-05-13_16-47-37.340200547,1526222857.342038808,38.295882,2018-05-13_16-48-07.580496677,1526222887.582357271,0.99,0.96,0.93,174352,202180,1234,400,376,355,0,0,0,0,434249,0,3578,4189087,2417,0,8,0,0,0,32804244,31819784,31702020,2116,156712
2018-05-13_16-48-07.626739798,1526222887.628595598,38.295882,2018-05-13_16-48-37.867168855,1526222917.869078965,0.99,0.96,0.94,175544,203564,1238,400,376,376,0,0,0,0,437274,0,3587,4210279,2417,0,8,0,0,0,32804244,31808324,31690244,2116,156720
2018-05-13_16-48-37.913666063,1526222917.915520837,38.295882,2018-05-13_16-49-08.153939305,1526222948.155821612,1.00,0.96,0.94,176736,204948,1242,400,376,397,0,0,0,0,440302,0,3594,4231470,2417,0,8,0,0,0,32804244,31808896,31690536,2116,156728
2018-05-13_16-49-08.200511447,1526222948.202386937,38.295885,2018-05-13_16-49-38.441034841,1526222978.442969784,1.00,0.97,0.94,177928,206332,1246,400,376,418,0,0,0,0,443325,0,3599,4252668,2417,0,8,0,0,0,32804244,31807920,31689820,2116,156728
2018-05-13_16-49-38.487692902,1526222978.489567577,38.295884,2018-05-13_16-50-08.728167771,1526223008.730067576,1.00,0.97,0.95,179120,207716,1250,400,376,439,0,0,0,0,446353,0,3609,4273856,2418,0,8,0,0,0,32804244,31807588,31689280,2116,156740
2018-05-13_16-50-08.774940513,1526223008.776809051,38.295882,2018-05-13_16-50-39.015865497,1526223039.017767735,1.00,0.97,0.95,180312,209100,1254,422,376,439,0,0,0,0,449380,0,3616,4295050,2418,0,8,0,0,0,32804244,31807700,31689432,2116,156744
2018-05-13_16-50-39.062674442,1526223039.064548100,38.295884,2018-05-13_16-51-09.303161525,1526223069.305062824,1.00,0.97,0.95,181504,210484,1258,443,376,439,0,0,0,0,452404,0,3622,4316245,2418,0,8,0,0,0,32804244,31807896,31690156,2116,156744
2018-05-13_16-51-09.349696890,1526223069.351581631,38.295881,2018-05-13_16-51-39.590204021,1526223099.592082884,0.94,0.96,0.95,182696,211868,1262,462,377,439,0,0,0,0,455428,0,3628,4337442,2418,0,8,0,0,0,32804244,31821984,31703888,2116,156736
2018-05-13_16-51-39.636589823,1526223099.638473096,38.295881,2018-05-13_16-52-09.876955343,1526223129.878830033,0.91,0.95,0.95,183888,213252,1266,482,378,439,0,0,0,0,458452,0,3634,4358638,2418,0,8,0,0,0,32804244,31820136,31702148,2116,156736
2018-05-13_16-52-09.923568627,1526223129.925446961,38.295881,2018-05-13_16-52-40.164277527,1526223160.166167474,0.94,0.95,0.95,185080,214636,1273,482,378,441,0,0,0,0,461476,0,3640,4379835,2418,0,8,0,0,0,32804244,31819476,31701700,2116,156736
2018-05-13_16-52-40.210633044,1526223160.212507004,38.295882,2018-05-13_16-53-10.450906772,1526223190.452778143,0.97,0.96,0.95,186272,216020,1282,482,378,441,0,0,0,0,464500,0,3646,4401031,2418,0,8,0,0,0,32804244,31819708,31701700,2116,156736
2018-05-13_16-53-10.497181293,1526223190.499032196,38.295884,2018-05-13_16-53-40.737412735,1526223220.739282303,0.98,0.96,0.95,187464,217404,1290,482,378,441,0,0,0,0,467523,0,3651,4422229,2418,0,8,0,0,0,32804244,31819964,31701956,2116,156736
2018-05-13_16-53-40.783487724,1526223220.785333372,38.295885,2018-05-13_16-54-11.023628910,1526223251.025509703,0.99,0.96,0.95,188656,218788,1298,482,378,441,0,0,0,0,470548,0,3657,4443426,2418,0,8,0,0,0,32804244,31819932,31701912,2116,156736
2018-05-13_16-54-11.069875185,1526223251.071724093,38.295884,2018-05-13_16-54-41.309902627,1526223281.311774156,0.99,0.97,0.95,189848,220172,1323,482,378,441,0,0,0,0,473572,0,3661,4464623,2418,0,8,0,0,0,32804244,31819876,31701816,2116,156736
2018-05-13_16-54-41.356094024,1526223281.357945331,38.295884,2018-05-13_16-55-11.596572805,1526223311.598455155,1.00,0.97,0.95,191040,221556,1346,482,379,441,0,0,0,0,476596,0,3667,4485820,2418,0,8,0,0,0,32804244,31819904,31702192,2116,156736
2018-05-13_16-55-11.642792969,1526223311.644672576,38.295884,2018-05-13_16-55-41.882948182,1526223341.884839553,1.00,0.97,0.95,192232,222940,1369,482,379,441,0,0,0,0,479620,0,3672,4507017,2418,0,8,0,0,0,32804244,31819884,31702172,2116,156736
2018-05-13_16-55-41.929138817,1526223341.930993960,38.295884,2018-05-13_16-56-12.169263064,1526223372.171134466,1.00,0.98,0.95,193424,224324,1393,482,379,441,0,0,0,0,482644,0,3678,4528214,2418,0,8,0,0,0,32804244,31820528,31702392,2116,156736
2018-05-13_16-56-12.215550187,1526223372.217440115,38.295881,2018-05-13_16-56-42.456259298,1526223402.458177809,1.00,0.98,0.95,194616,225708,1402,482,379,441,0,0,0,0,485670,0,3684,4549408,2418,0,8,0,0,0,32804244,31808660,31690384,2116,156748
2018-05-13_16-56-42.502933168,1526223402.504794251,38.295876,2018-05-13_16-57-12.743455016,1526223432.745341058,1.00,0.98,0.95,195808,227092,1410,482,380,441,0,0,0,0,488697,0,3692,4570600,2418,0,8,0,0,0,32804244,31808944,31690408,2116,156748
2018-05-13_16-57-12.790157889,1526223432.792017095,38.295883,2018-05-13_16-57-43.030694456,1526223463.032569471,1.08,1.00,0.96,197000,228476,1418,482,381,441,0,0,0,0,491721,0,3697,4591797,2418,0,8,0,0,0,32804244,31808384,31689852,2116,156752
2018-05-13_16-57-43.077186772,1526223463.079053049,38.295883,2018-05-13_16-58-13.317788524,1526223493.319673299,1.05,1.00,0.96,198192,229860,1426,482,381,441,0,0,0,0,494748,0,3705,4612989,2418,0,8,0,0,0,32804244,31808456,31690392,2116,156756
2018-05-13_16-58-13.364422633,1526223493.366283573,38.295882,2018-05-13_16-58-43.605203282,1526223523.607084327,1.03,1.00,0.96,199678,231602,1434,482,381,441,0,0,0,0,497774,0,3712,4634183,2418,0,9,0,0,0,32804244,31807492,31688916,2116,156760
2018-05-13_16-58-43.651865815,1526223523.653741182,38.295884,2018-05-13_16-59-13.892372098,1526223553.894260055,1.02,1.00,0.96,200576,232628,1442,482,382,441,0,0,0,0,500799,0,3718,4655379,2418,0,9,0,0,0,32804244,31807836,31690304,2116,156760
2018-05-13_16-59-13.938910444,1526223553.940769519,38.295882,2018-05-13_16-59-44.179440799,1526223584.181347232,1.01,1.00,0.96,201768,234012,1450,482,382,441,0,0,0,0,503823,0,3723,4676576,2418,0,9,0,0,0,32804244,31820548,31702808,2116,156752
2018-05-13_16-59-44.225923345,1526223584.227799924,38.295884,2018-05-13_17-00-14.466519836,1526223614.468439756,1.01,1.00,0.96,202960,235396,1458,482,383,441,0,0,0,0,506848,0,3731,4697770,2418,0,9,0,0,0,32804244,31820640,31702536,2116,156760
2018-05-13_17-00-14.513134396,1526223614.514993861,38.295885,2018-05-13_17-00-44.753645409,1526223644.755501757,1.00,1.00,0.96,204152,236780,1462,482,405,441,0,0,0,0,509872,0,3736,4718968,2418,0,9,0,0,0,32804244,31820232,31702248,2116,156760
2018-05-13_17-00-44.800055745,1526223644.801940701,38.295882,2018-05-13_17-01-15.040671868,1526223675.042549880,1.08,1.02,0.97,205344,238164,1466,482,426,441,0,0,0,0,512898,0,3742,4740162,2418,0,9,0,0,0,32804244,31820736,31702208,2116,156760
2018-05-13_17-01-15.087199079,1526223675.089059901,38.295878,2018-05-13_17-01-45.327942006,1526223705.329832262,1.05,1.02,0.97,206536,239548,1470,482,446,442,0,0,0,0,515922,0,3747,4761360,2418,0,9,0,0,0,32804244,31819884,31701620,2116,156760
