StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,so
ftirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-04-27_21-23-14.478713206,1524856994.480094323,2018-04-27_21-23-14.483108852,1524856994.484688204,0.85,0.81,0.68,3745609269362,1581775050,5482483,8963671,6012305,7487366,0,0,0,0,132989,0,121846,12381639,2804,0,51920,0,0,0,32805052,31794360,31694232,948,188596
2018-04-27_21-23-44.525278818,1524857024.526743805,2018-04-27_21-23-44.530019736,1524857024.531330691,0.85,0.81,0.68,3828971959234,1630735656,5912274,9231959,6037093,7495922,0,0,0,0,133022,0,123277,12402722,2804,0,52479,0,0,0,32805052,31792100,31692228,948,188596
2018-04-27_21-24-14.564655901,1524857054.566237937,2018-04-27_21-24-14.569516675,1524857054.570887527,0.85,0.81,0.69,3904774631672,1663078242,6058524,9261148,6360328,7495934,0,0,0,0,133052,0,124817,12423801,2804,0,53463,0,0,0,32805052,31793312,31694144,948,188596
2018-04-27_21-24-44.605748145,1524857084.607512201,2018-04-27_21-24-44.611690508,1524857084.613256214,0.63,0.77,0.68,3988866504458,1708533888,6511883,9344622,6493193,7498208,0,0,0,0,133083,0,126243,12444880,2804,0,54142,0,0,0,32805052,31792108,31692300,948,188600
2018-04-27_21-25-14.648268081,1524857114.649653801,2018-04-27_21-25-14.652684629,1524857114.653990974,0.78,0.79,0.69,4063073975808,1739814174,6669777,9364679,6815003,7498212,0,0,0,0,133115,0,127899,12465910,2804,0,55218,0,0,0,32805052,31778120,31677832,948,188600
2018-04-27_21-25-44.687128536,1524857144.688575334,2018-04-27_21-25-44.691503140,1524857144.692808112,0.88,0.81,0.70,4142615542038,1768497780,6669990,9364784,6927709,7839800,0,0,0,0,133145,0,129429,12486986,2804,0,56400,0,0,0,32805052,31794012,31693992,948,188604
2018-04-27_21-26-14.728436689,1524857174.729807567,2018-04-27_21-26-14.732754885,1524857174.734057743,0.92,0.83,0.70,4217272980426,1796463846,6670126,9859770,6927709,7962070,0,0,0,0,133173,0,131051,12508039,2804,0,57587,0,0,0,32805052,31793480,31693376,948,188596
2018-04-27_21-26-44.766950856,1524857204.768265653,2018-04-27_21-26-44.771163596,1524857204.772729121,0.95,0.84,0.71,4294841040698,1825107972,6670323,10034120,6928009,8478815,0,0,0,0,133205,0,132616,12529110,2804,0,58761,0,0,0,32805052,31806540,31705868,948,188596
2018-04-27_21-27-14.807268057,1524857234.808661427,2018-04-27_21-27-14.811557115,1524857234.812871741,0.97,0.86,0.72,4373195720920,1852685358,6670574,10352959,6928451,8659507,0,0,0,0,133233,0,134127,12550213,2804,0,59862,0,0,0,32805052,31806164,31706424,948,188596
2018-04-27_21-27-44.848868590,1524857264.850370962,2018-04-27_21-27-44.853314079,1524857264.854694656,0.97,0.87,0.73,4456440887614,1896195864,6935547,10520182,6943885,8680751,0,0,0,0,133262,0,135494,12571345,2804,0,60522,0,0,0,32805052,31804432,31704160,948,188596
2018-04-27_21-28-14.892415003,1524857294.893751494,2018-04-27_21-28-14.896654448,1524857294.897946870,0.93,0.87,0.73,4530246983408,1929678150,7023043,10542986,7461116,8680762,0,0,0,0,133291,0,137147,12592393,2804,0,61551,0,0,0,32805052,31790160,31690452,948,188596
2018-04-27_21-28-44.930556801,1524857324.931879526,2018-04-27_21-28-44.934768397,1524857324.936072407,0.89,0.87,0.74,4610620586538,1973084916,7283430,10612588,7659560,8684701,0,0,0,0,133322,0,138641,12613454,2804,0,62310,0,0,0,32805052,31803812,31704100,948,188596
2018-04-27_21-29-14.971388480,1524857354.973141243,2018-04-27_21-29-14.976130189,1524857354.977435854,0.82,0.85,0.74,4685602200808,2006945382,7375092,10640372,8151740,8684701,0,0,0,0,133348,0,140270,12634489,2804,0,63361,0,0,0,32805052,31793592,31693372,948,188600
